Name of the Conformation,Relative Energies (kcal/mol),RMSD (ppm),MAD (ppm),RMS (ppm),MAE (ppm)
1,9.5427,67.8511,52.6821,82.6257,56.1574
2,0.3822,0.4906,0.4414,0.4993,0.4275
3,2.9927,0.3078,0.2753,0.3115,0.2790
4,0.9219,0.5646,0.4982,0.5827,0.4712
5,0.3684,0.4451,0.4006,0.4489,0.3962
6,0.4926,0.4310,0.3791,0.4330,0.3759
7,1.0812,0.4297,0.3840,0.4316,0.3809
8,1.5435,0.4480,0.4025,0.4531,0.3965
9,4.3589,0.4503,0.4051,0.4599,0.3918
10,2.4070,0.4290,0.3774,0.4313,0.3740
11,2.9619,0.4666,0.4196,0.4744,0.4089
12,4.1178,0.9489,0.7909,1.0243,0.6781
13,4.1191,0.4404,0.3974,0.4449,0.3912
14,5.9740,0.4784,0.4312,0.4863,0.4192
15,7.0714,0.8951,0.7532,0.9676,0.6751
16,0.8643,0.4154,0.3520,0.4275,0.3442
17,7.3657,0.4765,0.4279,0.4856,0.4141
18,2.7286,0.4692,0.4123,0.4739,0.4053
19,1.1816,0.4211,0.3392,0.4322,0.3317
20,7.6378,0.5072,0.4461,0.5271,0.4254
21,1.2617,0.3189,0.2467,0.3534,0.3105
22,2.0467,0.4405,0.3408,0.4527,0.3328
23,3.3111,0.4495,0.3249,0.4604,0.3172
24,4.1930,0.4432,0.3917,0.4440,0.3820
25,4.7989,0.4434,0.3228,0.4552,0.3160
26,4.9812,0.3943,0.3361,0.3992,0.3267
27,3.3413,0.3935,0.3290,0.3936,0.3328
28,3.7056,0.3779,0.3179,0.3848,0.3458
29,2.0894,0.3954,0.3089,0.3957,0.3123
30,4.6890,0.4254,0.3024,0.4356,0.2847
31,0.7435,0.3596,0.2801,0.3597,0.2813
32,3.5578,0.4517,0.3155,0.4633,0.3003
33,0.9155,0.4186,0.3680,0.4194,0.3660
34,2.2773,0.4200,0.3003,0.4297,0.2913
35,0.0265,0.3098,0.2524,0.3099,0.2520
36,2.6450,0.4267,0.3752,0.4275,0.3693
37,4.3323,0.5296,0.3373,0.5674,0.3880
38,1.1254,0.3673,0.2880,0.3743,0.2801
39,2.7683,0.4151,0.3740,0.4182,0.3701
40,0.3614,0.2751,0.2305,0.2762,0.2312
41,0.6666,0.3434,0.2771,0.3474,0.2734
42,3.7192,0.4213,0.3467,0.4238,0.3390
43,0.1015,0.2927,0.2486,0.2949,0.2497
44,0.2808,0.3230,0.2683,0.3257,0.2683
45,0.1212,0.3197,0.2691,0.3220,0.2650
46,5.4943,0.4098,0.3486,0.4108,0.3374
47,0.1811,0.3342,0.2805,0.3354,0.2764
48,0.1127,0.2871,0.2535,0.2894,0.2562
49,5.3507,0.4468,0.3835,0.4475,0.3905
50,0.1272,0.3586,0.2664,0.3588,0.2673
51,4.2147,0.9286,0.7459,0.9870,0.6594
52,1.1154,0.3619,0.3064,0.3622,0.3027
53,0.5687,0.3795,0.2761,0.3800,0.2776
54,0.9419,0.3701,0.3100,0.3701,0.3099
55,2.4219,0.8572,0.6853,0.9056,0.6179
56,1.0503,0.3608,0.3061,0.3609,0.3080
57,0.0000,0.4721,0.4267,0.4776,0.4143
58,0.7712,0.3473,0.2992,0.3474,0.3015
59,3.2460,0.3935,0.2976,0.3936,0.2994
60,0.4883,0.4418,0.3970,0.4429,0.3947
61,0.5710,0.4058,0.3666,0.4058,0.3662
62,1.0394,0.3529,0.3025,0.3532,0.2993
63,1.0235,0.3601,0.3066,0.3613,0.3018
64,5.5345,0.4502,0.3311,0.4502,0.3315
65,0.8475,0.3892,0.3356,0.3950,0.3304
66,4.3533,0.4180,0.3512,0.4180,0.3511
67,12.1787,0.3470,0.2616,0.3538,0.2883
68,0.6377,0.3910,0.3471,0.3967,0.3419
69,3.0781,0.4166,0.3421,0.4167,0.3416
70,4.0894,0.4579,0.3998,0.4670,0.3906
71,1.8466,0.4180,0.3424,0.4181,0.3421
72,0.3501,0.3780,0.3263,0.3791,0.3331
73,2.9133,0.9068,0.7318,0.9708,0.6363
74,2.8721,0.3351,0.2985,0.3351,0.2984
75,0.0415,0.3987,0.3386,0.3988,0.3408
76,1.9350,0.7908,0.6465,0.8373,0.5848
77,5.0232,0.9654,0.7712,1.0346,0.6749
78,0.2631,0.4390,0.3792,0.4398,0.3771
79,0.9226,0.5647,0.4983,0.5828,0.4713
80,4.1094,0.9502,0.7501,1.0218,0.6582
